0.00,0.19,0.06,0.00,0.00,0.00
-0.06,-0.25,0.00,0.00,0.00,0.00
-0.06,-0.25,0.00,0.00,0.00,0.00
0.06,-0.13,-0.13,1.96,1.89,-0.72
-0.13,-0.13,-0.06,1.95,1.90,-0.70
-0.19,-0.19,0.00,1.95,1.87,-0.71
-0.19,-0.13,0.06,1.96,1.89,-0.68
-0.25,-0.13,-0.13,1.97,1.88,-0.67
0.00,-0.13,0.00,-0.04,-0.05,-0.25
0.00,-0.13,0.06,-0.06,-0.05,-0.29
-0.31,-0.19,-0.13,-0.04,-0.07,-0.29
-0.13,-0.13,0.00,-0.03,-0.06,-0.30
-0.06,-0.19,0.00,-0.03,-0.05,-0.28
-0.06,-0.13,-0.06,-0.05,-0.08,-0.30
-0.19,-0.06,0.06,-0.05,-0.05,-0.29
-0.06,-0.31,0.06,-0.05,-0.03,-0.30
0.00,-0.06,0.06,-0.04,-0.03,-0.29
-0.06,-0.13,-0.06,-0.06,-0.05,-0.29
-0.19,-0.06,-0.06,-0.06,-0.04,-0.27
-0.13,-0.19,0.00,-0.07,-0.06,-0.31
-0.06,-0.31,-0.13,-0.08,-0.06,-0.27
-0.13,-0.19,0.00,-0.06,-0.07,-0.26
-0.06,-0.19,0.00,-0.06,-0.05,-0.28
0.00,-0.19,0.00,-0.07,-0.05,-0.27
0.06,-0.19,-0.06,-0.05,-0.05,-0.27
-0.13,-0.19,0.06,-0.05,-0.07,-0.29
0.00,-0.31,-0.19,-0.05,-0.04,-0.28
-0.06,-0.06,0.00,-0.06,-0.04,-0.29
0.00,-0.13,-0.06,-0.05,-0.05,-0.28
-0.19,-0.13,-0.06,-0.04,-0.05,-0.31
0.00,-0.19,-0.19,-0.05,-0.06,-0.30
0.00,-0.13,-0.06,-0.06,-0.04,-0.29
0.13,-0.06,0.00,-0.03,-0.05,-0.31
0.06,0.00,0.00,-0.05,-0.04,-0.30
-0.06,0.00,-0.06,-0.05,-0.04,-0.30
-0.19,-0.19,-0.06,-0.03,-0.04,-0.29
-0.19,-0.19,0.00,-0.06,-0.05,-0.26
-0.06,0.00,-0.13,-0.08,-0.06,-0.27
-0.13,-0.25,-0.13,-0.07,-0.05,-0.27
-0.06,-0.13,-0.06,-0.07,-0.09,-0.30
-0.13,-0.25,-0.06,-0.07,-0.05,-0.30
-0.06,-0.06,-0.13,-0.08,-0.08,-0.27
-0.06,-0.13,-0.06,-0.07,-0.07,-0.25
-0.06,0.00,0.00,-0.06,-0.06,-0.28
0.00,-0.13,-0.13,-0.05,-0.04,-0.31
0.13,-0.25,0.00,-0.04,-0.06,-0.27
0.00,-0.06,0.00,-0.05,-0.05,-0.28
-0.13,0.00,-0.13,-0.05,-0.04,-0.26
-0.31,-0.31,0.00,-0.05,-0.03,-0.31
-0.19,-0.13,0.00,-0.06,-0.06,-0.30
-0.06,0.13,0.06,-0.06,-0.05,-0.31
-0.13,-0.19,0.00,-0.06,-0.05,-0.28
-0.19,-0.25,0.00,-0.05,-0.04,-0.28
0.00,-0.06,-0.06,-0.05,-0.03,-0.29
-0.13,-0.13,-0.13,-0.06,-0.05,-0.31
-0.13,-0.19,-0.06,-0.06,-0.05,-0.28
-0.13,-0.19,0.06,-0.08,-0.06,-0.27
0.00,-0.13,-0.06,-0.06,-0.06,-0.28
0.00,-0.13,0.00,-0.08,-0.05,-0.29
0.06,-0.19,0.00,-0.04,-0.06,-0.32
0.00,-0.13,0.00,-0.05,-0.06,-0.28
-0.19,-0.19,-0.06,-0.05,-0.06,-0.29
-0.13,-0.37,-0.06,-0.06,-0.05,-0.28
0.00,-0.37,0.13,-0.06,-0.03,-0.30
-0.13,-0.19,-0.13,-0.06,-0.06,-0.30
-0.13,-0.06,-0.06,-0.05,-0.02,-0.29
